Compound_ID,mean_dG,std_dG,median_dG,consensus_rank,rank_stability,single_run_rank
ligand15,-18.14,0.2443358344574122,-18.25,1,1.0,1
ligand4,-18.066666666666666,0.05033222956847248,-18.06,2,1.0,2
ligand74,-17.95,0.07810249675906647,-17.91,3,1.0,5
ligand100,-17.836666666666666,0.00577350269189716,-17.84,4,1.0,6
ligand92,-17.810000000000002,0.19287301521985903,-17.89,5,1.0,4
ligand94,-17.789999999999996,0.043588989435407434,-17.81,6,1.0,7
ligand37,-17.76666666666667,0.04725815626252608,-17.75,7,1.0,9
ligand93,-17.74,0.26962937525425623,-17.61,8,1.0,3
ligand16,-17.720000000000002,0.009999999999999787,-17.72,9,1.0,11
ligand79,-17.716666666666665,0.01154700538379227,-17.71,10,1.0,9
ligand3,-17.706666666666667,0.015275252316518365,-17.71,11,1.0,12
ligand1,-17.683333333333334,0.02309401076758454,-17.67,12,1.0,13
ligand36,-17.61666666666667,0.22479620400116399,-17.67,13,1.0,8
ligand61,-17.566666666666666,0.015275252316518365,-17.57,14,1.0,14
ligand76,-17.543333333333333,0.03055050463303828,-17.55,15,1.0,15
ligand49,-17.453333333333333,0.6379916404885999,-17.09,16,0.3333333333333333,36
ligand80,-17.439999999999998,0.009999999999999787,-17.44,17,1.0,17
ligand75,-17.36,0.1609347693943108,-17.38,18,0.6666666666666666,15
ligand78,-17.26666666666667,0.0907377172587745,-17.28,19,0.6666666666666666,18
ligand27,-17.233333333333334,0.015275252316519916,-17.23,20,0.6666666666666666,19
ligand91,-17.23,0.026457513110646685,-17.22,21,0.6666666666666666,20
ligand85,-17.186666666666667,0.00577350269189716,-17.19,22,0.0,23
ligand51,-17.18,0.009999999999999787,-17.18,23,0.0,25
ligand31,-17.176666666666666,0.12503332889007365,-17.12,24,0.3333333333333333,35
ligand60,-17.166666666666668,0.015275252316520304,-17.17,25,0.0,24
ligand77,-17.153333333333332,0.02081665999466259,-17.16,26,0.0,25
ligand45,-17.136666666666667,0.015275252316518365,-17.14,27,0.0,30
ligand20,-17.136666666666667,0.0680685928555417,-17.16,28,0.0,28
ligand87,-17.12666666666667,0.01154700538379227,-17.12,29,0.0,29
ligand81,-17.12,0.043588989435407434,-17.1,30,0.0,25
ligand82,-17.110000000000003,0.009999999999999787,-17.11,31,0.0,33
ligand8,-17.11,0.009999999999999787,-17.11,32,0.0,30
ligand84,-17.093333333333334,0.015275252316519916,-17.09,33,0.0,33
ligand32,-17.09,0.11357816691600446,-17.04,34,0.0,20
ligand19,-17.076666666666668,0.03055050463303828,-17.07,35,0.0,37
ligand29,-17.076666666666664,0.2482606157515389,-17.22,36,0.3333333333333333,20
ligand39,-17.046666666666667,0.15947831618540925,-16.97,37,0.3333333333333333,43
ligand2,-17.043333333333333,0.01154700538379227,-17.05,38,0.0,37
ligand83,-17.03333333333333,0.0808290376865478,-17.02,39,0.0,30
ligand70,-17.023333333333333,0.00577350269189716,-17.02,40,0.0,39
ligand12,-16.99,0.009999999999999787,-16.99,41,0.0,42
ligand57,-16.976666666666667,0.06027713773341589,-16.97,42,0.0,48
ligand34,-16.976666666666663,0.01154700538379227,-16.97,43,0.0,40
ligand66,-16.96666666666667,0.01154700538379227,-16.96,44,0.0,45
ligand67,-16.959999999999997,0.051961524227066236,-16.99,45,0.0,40
ligand17,-16.956666666666667,0.00577350269189716,-16.96,46,0.0,45
ligand99,-16.94666666666667,0.020816659994660598,-16.94,47,0.0,43
ligand96,-16.900000000000002,0.0458257569495582,-16.91,48,0.0,47
ligand62,-16.863333333333333,0.08386497083606166,-16.82,49,0.0,53
ligand44,-16.849999999999998,0.009999999999999787,-16.85,50,0.0,49
ligand68,-16.843333333333334,0.020816659994661167,-16.85,51,0.0,52
ligand7,-16.83,0.05567764362829999,-16.84,52,0.0,50
ligand59,-16.819999999999997,0.019999999999999574,-16.82,53,0.0,50
ligand43,-16.80333333333333,0.005773502691895109,-16.8,54,0.0,54
